storm_id,year,region,min_dist_km,peak_wind,tcws,scenario
2000185N15117,2000,Region I (Ilocos Region),6.55,75.0,4,Moderate
2000185N15117,2000,Region II (Cagayan Valley),37.56,75.0,4,Moderate
2000185N15117,2000,Region III (Central Luzon),67.53,75.0,4,Moderate
2000185N15117,2000,Cordillera Administrative Region (CAR),31.3,75.0,4,Moderate
2000193N10131,2000,Region II (Cagayan Valley),126.76,22.0,1,Moderate
2000193N10131,2000,Region III (Central Luzon),112.93,22.0,1,Moderate
2000193N10131,2000,Region IV-A (Calabarzon),130.37,22.0,1,Moderate
2000193N10131,2000,Region V (Bicol Region),133.92,22.0,1,Moderate
2000202N12131,2000,Region II (Cagayan Valley),122.11,50.0,3,Moderate
2000202N12131,2000,Region III (Central Luzon),183.62,50.0,3,Moderate
2000230N08139,2000,Region II (Cagayan Valley),111.78,123.2,5,Moderate
2000232N12116,2000,Mimaropa Region,148.61,40.0,2,Moderate
2000248N18126,2000,Region I (Ilocos Region),97.54,46.64,2,Moderate
2000248N18126,2000,Region II (Cagayan Valley),0.0,46.64,2,Moderate
2000248N18126,2000,Region III (Central Luzon),60.07,46.64,2,Moderate
2000248N18126,2000,Cordillera Administrative Region (CAR),39.04,46.64,2,Moderate
2000299N08139,2000,Region I (Ilocos Region),43.01,79.2,4,Moderate
2000299N08139,2000,Region II (Cagayan Valley),116.72,79.2,4,Moderate
2000299N08139,2000,Region III (Central Luzon),0.0,79.2,4,Moderate
2000299N08139,2000,Region IV-A (Calabarzon),0.0,79.2,4,Moderate
2000299N08139,2000,Region V (Bicol Region),0.0,79.2,4,Moderate
2000299N08139,2000,Region VIII (Eastern Visayas),50.97,79.2,4,Moderate
2000299N08139,2000,National Capital Region (NCR),9.07,79.2,4,Moderate
2000299N08139,2000,Cordillera Administrative Region (CAR),113.63,79.2,4,Moderate
2000299N08139,2000,Mimaropa Region,38.34,79.2,4,Moderate
2000305N06136,2000,Region I (Ilocos Region),94.27,74.8,4,Moderate
2000305N06136,2000,Region II (Cagayan Valley),123.78,74.8,4,Moderate
2000305N06136,2000,Region III (Central Luzon),0.0,74.8,4,Moderate
2000305N06136,2000,Region IV-A (Calabarzon),0.0,74.8,4,Moderate
2000305N06136,2000,Region V (Bicol Region),0.0,74.8,4,Moderate
2000305N06136,2000,Region VIII (Eastern Visayas),74.0,74.8,4,Moderate
2000305N06136,2000,National Capital Region (NCR),0.69,74.8,4,Moderate
2000305N06136,2000,Cordillera Administrative Region (CAR),165.64,74.8,4,Moderate
2000305N06136,2000,Mimaropa Region,92.64,74.8,4,Moderate
2000332N08133,2000,Region IV-A (Calabarzon),140.04,48.4,3,Moderate
2000332N08133,2000,Region V (Bicol Region),12.0,48.4,3,Moderate
2000332N08133,2000,Region VI (Western Visayas),12.62,48.4,3,Moderate
2000332N08133,2000,Region VII (Central Visayas),21.28,48.4,3,Moderate
2000332N08133,2000,Region VIII (Eastern Visayas),0.0,48.4,3,Moderate
2000332N08133,2000,Region XIII (Caraga),55.01,48.4,3,Moderate
2000332N08133,2000,Mimaropa Region,37.83,48.4,3,Moderate
2001170N11138,2001,Region I (Ilocos Region),172.97,86.24,4,Normal
2001170N11138,2001,Region II (Cagayan Valley),32.13,86.24,4,Normal
2001170N11138,2001,Cordillera Administrative Region (CAR),157.85,86.24,4,Normal
2001181N08141,2001,Region I (Ilocos Region),62.4,70.4,4,Normal
2001181N08141,2001,Region II (Cagayan Valley),0.0,70.4,4,Normal
2001181N08141,2001,Cordillera Administrative Region (CAR),61.74,70.4,4,Normal
2001189N13130,2001,Region II (Cagayan Valley),50.54,40.0,2,Normal
2001204N19127,2001,Region I (Ilocos Region),153.86,74.8,4,Normal
2001204N19127,2001,Region II (Cagayan Valley),36.82,74.8,4,Normal
2001204N19127,2001,Cordillera Administrative Region (CAR),161.26,74.8,4,Normal
2001206N14134,2001,Region II (Cagayan Valley),90.07,81.84,4,Normal
2001264N21126,2001,Region I (Ilocos Region),125.9,81.84,4,Normal
2001264N21126,2001,Region II (Cagayan Valley),0.0,81.84,4,Normal
2001264N21126,2001,Cordillera Administrative Region (CAR),113.72,81.84,4,Normal
2001309N10130,2001,Region IV-A (Calabarzon),149.84,101.2,5,Normal
2001309N10130,2001,Region V (Bicol Region),62.02,101.2,5,Normal
2001309N10130,2001,Region VI (Western Visayas),0.0,101.2,5,Normal
2001309N10130,2001,Region VII (Central Visayas),0.0,101.2,5,Normal
2001309N10130,2001,Region VIII (Eastern Visayas),0.0,101.2,5,Normal
2001309N10130,2001,Region X (Northern Mindanao),143.85,101.2,5,Normal
2001309N10130,2001,Region XIII (Caraga),5.06,101.2,5,Normal
2001309N10130,2001,Mimaropa Region,3.97,101.2,5,Normal
2001323N05107,2001,Mimaropa Region,9.42,30.8,1,Normal
2001323N05107,2001,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),10.71,30.8,1,Normal
2002155N20112,2002,Region II (Cagayan Valley),19.12,66.0,4,Normal
2002199N08130,2002,Region I (Ilocos Region),0.0,30.8,1,Normal
2002199N08130,2002,Region II (Cagayan Valley),45.64,30.8,1,Normal
2002199N08130,2002,Region III (Central Luzon),0.0,30.8,1,Normal
2002199N08130,2002,Region IV-A (Calabarzon),0.0,30.8,1,Normal
2002199N08130,2002,Region V (Bicol Region),0.79,30.8,1,Normal
2002199N08130,2002,Region VI (Western Visayas),96.27,30.8,1,Normal
2002199N08130,2002,Region VII (Central Visayas),75.64,30.8,1,Normal
2002199N08130,2002,Region VIII (Eastern Visayas),0.0,30.8,1,Normal
2002199N08130,2002,Region X (Northern Mindanao),179.36,30.8,1,Normal
2002199N08130,2002,Region XI (Davao Region),191.26,30.8,1,Normal
2002199N08130,2002,National Capital Region (NCR),7.46,30.8,1,Normal
2002199N08130,2002,Cordillera Administrative Region (CAR),34.26,30.8,1,Normal
2002199N08130,2002,Region XIII (Caraga),36.76,30.8,1,Normal
2002199N08130,2002,Mimaropa Region,8.23,30.8,1,Normal
2002214N19120,2002,Region I (Ilocos Region),142.47,55.0,3,Normal
2002214N19120,2002,Region II (Cagayan Valley),170.55,55.0,3,Normal
2002214N19120,2002,Cordillera Administrative Region (CAR),176.73,55.0,3,Normal
2002222N11131,2002,Region I (Ilocos Region),151.58,30.8,1,Normal
2002222N11131,2002,Region II (Cagayan Valley),145.8,30.8,1,Normal
2002222N11131,2002,Region III (Central Luzon),32.29,30.8,1,Normal
2002222N11131,2002,Region IV-A (Calabarzon),0.0,30.8,1,Normal
2002222N11131,2002,Region V (Bicol Region),6.0,30.8,1,Normal
2002222N11131,2002,Region VIII (Eastern Visayas),128.84,30.8,1,Normal
2002222N11131,2002,National Capital Region (NCR),9.07,30.8,1,Normal
2002222N11131,2002,Cordillera Administrative Region (CAR),198.78,30.8,1,Normal
2002222N11131,2002,Mimaropa Region,37.44,30.8,1,Normal
2002252N20121,2002,Region I (Ilocos Region),116.2,45.0,2,Normal
2002252N20121,2002,Region II (Cagayan Valley),35.48,45.0,2,Normal
2002252N20121,2002,Cordillera Administrative Region (CAR),128.88,45.0,2,Normal
2003150N17119,2003,Region II (Cagayan Valley),32.23,50.0,3,Moderate
2003158N08156,2003,Region II (Cagayan Valley),95.94,80.0,4,Moderate
2003158N08156,2003,Region V (Bicol Region),149.91,80.0,4,Moderate
2003158N08156,2003,Region VIII (Eastern Visayas),93.09,80.0,4,Moderate
2003158N08156,2003,Cordillera Administrative Region (CAR),184.55,80.0,4,Moderate
2003196N05150,2003,Region I (Ilocos Region),0.0,114.4,5,Moderate
2003196N05150,2003,Region II (Cagayan Valley),0.0,114.4,5,Moderate
2003196N05150,2003,Region III (Central Luzon),23.62,114.4,5,Moderate
2003196N05150,2003,Region IV-A (Calabarzon),183.62,114.4,5,Moderate
2003196N05150,2003,Region V (Bicol Region),179.23,114.4,5,Moderate
