region,scenario,p_low,p_moderate,p_high,p_critical
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Moderate,0.983,0.015,0.002,0.0
Cordillera Administrative Region (CAR),Moderate,0.076,0.175,0.457,0.292
Mimaropa Region,Moderate,0.249,0.301,0.377,0.073
National Capital Region (NCR),Moderate,0.441,0.3,0.239,0.02
Region I (Ilocos Region),Moderate,0.108,0.166,0.443,0.283
Region II (Cagayan Valley),Moderate,0.028,0.071,0.371,0.53
Region III (Central Luzon),Moderate,0.099,0.218,0.457,0.226
Region IV-A (Calabarzon),Moderate,0.18,0.293,0.408,0.119
Region IX (Zamboanga Peninsula),Moderate,0.977,0.022,0.001,0.0
Region V (Bicol Region),Moderate,0.171,0.279,0.422,0.128
Region VI (Western Visayas),Moderate,0.579,0.285,0.134,0.002
Region VII (Central Visayas),Moderate,0.657,0.245,0.095,0.003
Region VIII (Eastern Visayas),Moderate,0.429,0.313,0.243,0.015
Region X (Northern Mindanao),Moderate,0.982,0.018,0.0,0.0
Region XI (Davao Region),Moderate,0.986,0.014,0.0,0.0
Region XII (Soccsksargen),Moderate,0.997,0.003,0.0,0.0
Region XIII (Caraga),Moderate,0.765,0.184,0.051,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Normal,1.0,0.0,0.0,0.0
Cordillera Administrative Region (CAR),Normal,0.109,0.242,0.423,0.226
Mimaropa Region,Normal,0.521,0.32,0.147,0.012
National Capital Region (NCR),Normal,0.644,0.253,0.1,0.003
Region I (Ilocos Region),Normal,0.088,0.197,0.462,0.253
Region II (Cagayan Valley),Normal,0.033,0.097,0.413,0.457
Region III (Central Luzon),Normal,0.18,0.308,0.412,0.1
Region IV-A (Calabarzon),Normal,0.417,0.304,0.255,0.024
Region IX (Zamboanga Peninsula),Normal,0.979,0.021,0.0,0.0
Region V (Bicol Region),Normal,0.401,0.311,0.266,0.022
Region VI (Western Visayas),Normal,0.831,0.147,0.022,0.0
Region VII (Central Visayas),Normal,0.85,0.126,0.024,0.0
Region VIII (Eastern Visayas),Normal,0.607,0.269,0.121,0.003
Region X (Northern Mindanao),Normal,0.86,0.128,0.011,0.001
Region XI (Davao Region),Normal,0.975,0.025,0.0,0.0
Region XII (Soccsksargen),Normal,1.0,0.0,0.0,0.0
Region XIII (Caraga),Normal,0.842,0.136,0.022,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Severe,0.994,0.006,0.0,0.0
Cordillera Administrative Region (CAR),Severe,0.059,0.175,0.454,0.312
Mimaropa Region,Severe,0.185,0.304,0.417,0.094
National Capital Region (NCR),Severe,0.272,0.3,0.359,0.069
Region I (Ilocos Region),Severe,0.036,0.119,0.444,0.401
Region II (Cagayan Valley),Severe,0.006,0.055,0.267,0.672
Region III (Central Luzon),Severe,0.053,0.125,0.479,0.343
Region IV-A (Calabarzon),Severe,0.16,0.257,0.438,0.145
Region IX (Zamboanga Peninsula),Severe,0.997,0.003,0.0,0.0
Region V (Bicol Region),Severe,0.136,0.243,0.431,0.19
Region VI (Western Visayas),Severe,0.438,0.338,0.203,0.021
Region VII (Central Visayas),Severe,0.615,0.298,0.082,0.005
Region VIII (Eastern Visayas),Severe,0.336,0.356,0.279,0.029
Region X (Northern Mindanao),Severe,0.833,0.147,0.02,0.0
Region XI (Davao Region),Severe,0.929,0.069,0.002,0.0
Region XII (Soccsksargen),Severe,1.0,0.0,0.0,0.0
Region XIII (Caraga),Severe,0.641,0.277,0.082,0.0
